notice_id,portal_id,configuration,candidate_count
N000003,P002,32x4,160
N000010,P004,32x4,91
N000023,P006,32x4,147
N000026,P001,32x4,144
N000030,P021,32x4,0
N000036,P002,32x4,63
N000043,P189,32x4,2
N000050,P225,32x4,2
N000051,P215,32x4,3
N000052,P038,32x4,3
N000056,P002,32x4,149
N000058,P001,32x4,150
N000064,P004,32x4,5
N000065,P003,32x4,31
N000070,P002,32x4,178
N000078,P153,32x4,2
N000119,P001,32x4,196
N000124,P002,32x4,97
N000131,P005,32x4,112
N000135,P002,32x4,165
N000139,P113,32x4,9
N000145,P002,32x4,46
N000160,P215,32x4,1
N000161,P002,32x4,87
N000166,P174,32x4,0
N000175,P183,32x4,0
N000183,P002,32x4,66
N000184,P005,32x4,65
N000189,P056,32x4,1
N000202,P017,32x4,1
N000215,P001,32x4,133
N000217,P001,32x4,189
N000219,P215,32x4,6
N000237,P004,32x4,9
N000238,P094,32x4,5
N000250,P006,32x4,25
N000255,P004,32x4,69
N000259,P055,32x4,0
N000262,P006,32x4,4
N000264,P153,32x4,3
N000266,P080,32x4,0
N000268,P002,32x4,211
N000276,P046,32x4,4
N000278,P073,32x4,0
N000282,P019,32x4,0
N000286,P002,32x4,70
N000297,P004,32x4,0
N000314,P002,32x4,0
N000315,P005,32x4,46
N000316,P094,32x4,0
N000321,P006,32x4,151
N000323,P170,32x4,2
N000327,P249,32x4,0
N000335,P151,32x4,2
N000339,P165,32x4,0
N000340,P005,32x4,194
N000355,P003,32x4,152
N000357,P004,32x4,10
N000358,P222,32x4,2
N000359,P054,32x4,2
N000372,P001,32x4,131
N000384,P002,32x4,192
N000391,P006,32x4,124
N000396,P002,32x4,82
N000397,P003,32x4,5
N000412,P005,32x4,233
N000417,P136,32x4,4
N000419,P215,32x4,4
N000420,P063,32x4,0
N000431,P094,32x4,0
N000437,P004,32x4,88
N000443,P002,32x4,146
N000449,P187,32x4,0
N000461,P001,32x4,168
N000463,P006,32x4,74
N000465,P183,32x4,1
N000485,P094,32x4,4
N000486,P082,32x4,4
N000487,P098,32x4,4
N000488,P242,32x4,5
N000489,P114,32x4,5
N000490,P003,32x4,99
N000498,P232,32x4,2
N000514,P006,32x4,37
N000516,P020,32x4,0
N000518,P005,32x4,138
N000557,P078,32x4,2
N000561,P002,32x4,260
N000562,P002,32x4,130
N000566,P005,32x4,24
N000573,P002,32x4,201
N000576,P005,32x4,196
N000577,P046,32x4,0
N000591,P004,32x4,30
N000605,P094,32x4,4
N000607,P065,32x4,0
N000628,P081,32x4,1
N000633,P004,32x4,125
N000640,P005,32x4,146
N000643,P001,32x4,151
N000647,P006,32x4,28
N000659,P005,32x4,204
N000664,P069,32x4,0
N000666,P001,32x4,231
N000670,P094,32x4,2
N000671,P122,32x4,2
N000672,P002,32x4,179
N000675,P006,32x4,10
N000684,P122,32x4,0
N000697,P001,32x4,235
N000702,P004,32x4,3
N000723,P003,32x4,135
N000725,P003,32x4,0
N000735,P001,32x4,245
N000737,P208,32x4,0
N000741,P240,32x4,1
N000745,P121,32x4,1
N000753,P094,32x4,1
N000755,P112,32x4,1
N000768,P120,32x4,1
N000770,P044,32x4,1
N000817,P003,32x4,120
N000818,P094,32x4,1
N000834,P001,32x4,222
N000843,P001,32x4,40
N000852,P002,32x4,281
N000864,P198,32x4,0
N000873,P004,32x4,178
N000883,P004,32x4,111
N000884,P003,32x4,69
N000889,P001,32x4,283
N000890,P240,32x4,1
N000895,P004,32x4,148
N000906,P172,32x4,1
N000923,P004,32x4,99
N000926,P001,32x4,14
N000937,P094,32x4,2
N000938,P005,32x4,73
N000964,P006,32x4,24
N000982,P102,32x4,3
N000985,P006,32x4,25
N000986,P013,32x4,0
N000990,P003,32x4,83
N000992,P044,32x4,1
N000993,P129,32x4,1
N001001,P001,32x4,108
N001005,P001,32x4,137
N001006,P046,32x4,2
N001010,P005,32x4,296
N001011,P255,32x4,0
N001013,P058,32x4,2
N001022,P026,32x4,1
N001023,P001,32x4,165
N001025,P005,32x4,178
N001027,P061,32x4,2
N001043,P144,32x4,1
N001044,P001,32x4,198
N001053,P056,32x4,2
