notice_id_a,notice_id_b,label,exact_word5_jaccard,minhash_32,error_32,minhash_64,error_64,minhash_128,error_128,minhash_256,error_256
N010018,N010020,same,0.1987315010570824,0.28125,0.0825184989429176,0.234375,0.0356434989429176,0.21875,0.0200184989429176,0.20703125,0.0082997489429176
N007876,N008565,different,0.1113412739513205,0.1875,0.0761587260486795,0.140625,0.0292837260486795,0.1171875,0.005846226048679501,0.12109375,0.009752476048679501
N005451,N005452,same,0.2737588652482269,0.25,0.0237588652482269,0.25,0.0237588652482269,0.265625,0.008133865248226901,0.28125,0.007491134751773099
N008464,N010231,different,0.0694533762057877,0.0625,0.0069533762057877035,0.0625,0.0069533762057877035,0.0625,0.0069533762057877035,0.0625,0.0069533762057877035
N000420,N001104,different,0.1614906832298136,0.125,0.03649068322981361,0.1875,0.02600931677018639,0.15625,0.005240683229813609,0.16015625,0.0013344332298136086
N004781,N005219,different,0.1937984496124031,0.21875,0.024951550387596888,0.1875,0.006298449612403112,0.2421875,0.04838905038759689,0.21875,0.024951550387596888
N007021,N010547,different,0.2564745196324143,0.3125,0.0560254803675857,0.28125,0.0247754803675857,0.3359375,0.0794629803675857,0.296875,0.0404004803675857
N004413,N008734,different,0.0787623066104078,0.125,0.0462376933895922,0.078125,0.0006373066104077979,0.0703125,0.008449806610407798,0.078125,0.0006373066104077979
N007783,N007784,same,0.2463576158940397,0.3125,0.0661423841059603,0.1875,0.058857615894039705,0.265625,0.019267384105960295,0.265625,0.019267384105960295
N001104,N001107,same,0.2630385487528344,0.40625,0.1432114512471656,0.265625,0.002586451247165611,0.296875,0.03383645124716561,0.2890625,0.02602395124716561
N006958,N006959,same,0.4536271808999081,0.46875,0.015122819100091889,0.453125,0.0005021808999081112,0.4296875,0.02393968089990811,0.43359375,0.02003343089990811
N003107,N007431,different,0.2796327212020033,0.3125,0.032867278797996724,0.328125,0.048492278797996724,0.375,0.09536727879799672,0.34765625,0.06802352879799672
N010497,N011446,different,0.3457573354480571,0.375,0.02924266455194291,0.4375,0.09174266455194291,0.3828125,0.03705516455194291,0.3984375,0.05268016455194291
N002561,N003545,different,0.0775193798449612,0.09375,0.016230620155038802,0.0625,0.015019379844961198,0.0390625,0.0384568798449612,0.06640625,0.011113129844961198
N004217,N007965,different,0.3402317880794702,0.34375,0.0035182119205298124,0.3125,0.027731788079470188,0.2109375,0.1292942880794702,0.28515625,0.05507553807947019
N006099,N006100,same,0.5925597874224978,0.5,0.09255978742249782,0.546875,0.04568478742249782,0.6484375,0.05587771257750218,0.60546875,0.012908962577502181
N009010,N009562,different,0.0893617021276595,0.03125,0.058111702127659495,0.015625,0.0737367021276595,0.03125,0.058111702127659495,0.0546875,0.034674202127659495
N005332,N005333,same,0.8181818181818182,0.78125,0.03693181818181823,0.8125,0.005681818181818232,0.828125,0.009943181818181768,0.83203125,0.013849431818181768
N008288,N010448,different,0.2705501618122977,0.3125,0.041949838187702315,0.28125,0.010699838187702315,0.296875,0.026324838187702315,0.3046875,0.034137338187702315
N002391,N009409,different,0.086021505376344,0.125,0.038978494623656004,0.0625,0.023521505376343996,0.046875,0.039146505376343996,0.08203125,0.003990255376343996
N001001,N007428,different,0.1213292117465224,0.1875,0.0661707882534776,0.140625,0.019295788253477594,0.15625,0.034920788253477594,0.14453125,0.023202038253477594
N002919,N002920,same,0.9424141749723144,1.0,0.05758582502768561,0.96875,0.02633582502768561,0.984375,0.04196082502768561,0.95703125,0.014617075027685611
N007223,N008301,different,0.1638418079096045,0.09375,0.07009180790960451,0.09375,0.07009180790960451,0.171875,0.008033192090395491,0.19921875,0.03537694209039549
N005352,N007867,different,0.086410635155096,0.125,0.038589364844903995,0.078125,0.008285635155096005,0.0390625,0.047348135155096005,0.06640625,0.020004385155096005
N007893,N007894,same,0.852017937219731,0.75,0.10201793721973096,0.828125,0.02389293721973096,0.859375,0.007357062780269041,0.8828125,0.03079456278026904
N002670,N007972,different,0.2815186246418338,0.28125,0.0002686246418338034,0.234375,0.0471436246418338,0.25,0.0315186246418338,0.2578125,0.023706124641833803
N006038,N008642,different,0.0982519590114526,0.125,0.026748040988547397,0.109375,0.011123040988547397,0.0703125,0.027939459011452603,0.08984375,0.008408209011452603
N004523,N007453,different,0.1600771456123433,0.125,0.03507714561234329,0.125,0.03507714561234329,0.1640625,0.003985354387656709,0.1875,0.02742285438765671
N006491,N010563,different,0.3231750531537916,0.34375,0.02057494684620842,0.359375,0.03619994684620842,0.2578125,0.06536255315379158,0.3359375,0.01276244684620842
N002902,N010086,different,0.1457725947521866,0.09375,0.052022594752186596,0.125,0.020772594752186596,0.1015625,0.044210094752186596,0.1484375,0.002664905247813404
N001013,N003939,different,0.1738056013179571,0.09375,0.08005560131795711,0.078125,0.09568060131795711,0.1484375,0.02536810131795711,0.16015625,0.013649351317957109
N002612,N004456,different,0.097020097020097,0.09375,0.003270097020096993,0.046875,0.05014509702009699,0.0546875,0.04233259702009699,0.08984375,0.007176347020096993
N003308,N005945,different,0.0843621399176954,0.0625,0.021862139917695395,0.046875,0.037487139917695395,0.0546875,0.029674639917695395,0.0703125,0.014049639917695395
N002811,N007128,different,0.1680161943319838,0.15625,0.01176619433198381,0.125,0.04301619433198381,0.1328125,0.03520369433198381,0.15234375,0.01567244433198381
N007478,N011108,different,0.1066152858060372,0.15625,0.0496347141939628,0.125,0.0183847141939628,0.1328125,0.0261972141939628,0.12109375,0.0144784641939628
N001760,N001761,same,0.9550173010380624,1.0,0.04498269896193763,0.921875,0.03314230103806237,0.9453125,0.009704801038062372,0.94921875,0.005798551038062372
N004944,N009237,different,0.105890603085554,0.0625,0.043390603085553994,0.046875,0.059015603085553994,0.0859375,0.019953103085553994,0.09765625,0.008234353085553994
N008261,N008262,same,0.5982378854625551,0.75,0.15176211453744493,0.640625,0.042387114537444925,0.6484375,0.050199614537444925,0.64453125,0.046293364537444925
N003630,N009918,different,0.1227272727272727,0.0625,0.0602272727272727,0.078125,0.0446022727272727,0.109375,0.013352272727272699,0.14453125,0.0218039772727273
N003948,N008608,different,0.0788243152972612,0.0625,0.016324315297261194,0.03125,0.047574315297261194,0.046875,0.031949315297261194,0.06640625,0.012418065297261194
N008997,N008998,same,0.473972602739726,0.375,0.09897260273972602,0.40625,0.06772260273972602,0.40625,0.06772260273972602,0.4296875,0.04428510273972602
N004789,N005917,different,0.1609281437125748,0.21875,0.0578218562874252,0.171875,0.0109468562874252,0.1484375,0.0124906437125748,0.1484375,0.0124906437125748
N003672,N008071,different,0.4044016506189821,0.3125,0.09190165061898209,0.359375,0.04502665061898209,0.4375,0.03309834938101791,0.375,0.02940165061898209
N009235,N009236,same,0.3705103969754253,0.5,0.12948960302457468,0.421875,0.051364603024574684,0.390625,0.020114603024574684,0.3671875,0.0033228969754253157
N001817,N002597,different,0.3341213553979511,0.375,0.040878644602048875,0.34375,0.009628644602048875,0.296875,0.037246355397951125,0.32421875,0.009902605397951125
N000985,N000986,same,0.1965020576131687,0.25,0.05349794238683131,0.171875,0.02462705761316869,0.1328125,0.06368955761316869,0.16796875,0.02853330761316869
N000993,N010660,different,0.1422413793103448,0.1875,0.045258620689655193,0.140625,0.0016163793103448065,0.1015625,0.040678879310344807,0.140625,0.0016163793103448065
N003269,N010318,different,0.1720351390922401,0.15625,0.015785139092240108,0.15625,0.015785139092240108,0.1171875,0.05484763909224011,0.16796875,0.004066389092240108
N011750,N011966,different,0.1679073614557485,0.21875,0.0508426385442515,0.21875,0.0508426385442515,0.21875,0.0508426385442515,0.171875,0.0039676385442515005
N010357,N010360,same,0.9702048417132216,1.0,0.029795158286778367,0.984375,0.014170158286778367,0.9765625,0.006357658286778367,0.97265625,0.002451408286778367
N001163,N001165,same,0.968,1.0,0.03200000000000003,1.0,0.03200000000000003,0.9921875,0.02418750000000003,0.98828125,0.02028125000000003
N011255,N011732,different,0.1723534558180227,0.125,0.047353455818022694,0.125,0.047353455818022694,0.125,0.047353455818022694,0.1484375,0.023915955818022694
N007191,N011803,different,0.0794198895027624,0.125,0.045580110497237605,0.125,0.045580110497237605,0.1015625,0.022142610497237605,0.0859375,0.006517610497237605
N003422,N008330,different,0.0906084656084656,0.09375,0.0031415343915344035,0.078125,0.012483465608465596,0.0625,0.028108465608465596,0.078125,0.012483465608465596
N004762,N011915,different,0.3286274509803921,0.3125,0.01612745098039209,0.359375,0.03074754901960791,0.3125,0.01612745098039209,0.3515625,0.02293504901960791
N006325,N006326,same,0.8105395232120451,0.84375,0.03321047678795486,0.796875,0.013664523212045143,0.7890625,0.021477023212045143,0.78125,0.029289523212045143
N003658,N003661,same,0.8946459412780656,0.90625,0.011604058721934374,0.890625,0.004020941278065626,0.890625,0.004020941278065626,0.90625,0.011604058721934374
N010135,N010136,same,0.9823008849557522,1.0,0.017699115044247815,1.0,0.017699115044247815,0.9921875,0.009886615044247815,0.9921875,0.009886615044247815
N003079,N011928,different,0.3535087719298245,0.40625,0.052741228070175505,0.375,0.021491228070175505,0.3203125,0.033196271929824495,0.37109375,0.017584978070175505
N000268,N009659,different,0.4272151898734177,0.46875,0.04153481012658228,0.4375,0.010284810126582278,0.421875,0.005340189873417722,0.4375,0.010284810126582278
N001173,N001174,same,0.564042303172738,0.6875,0.12345769682726204,0.59375,0.029707696827262042,0.5625,0.0015423031727379577,0.56640625,0.0023639468272620423
N004065,N007546,different,0.2972718720602069,0.3125,0.015228127939793112,0.3125,0.015228127939793112,0.3515625,0.05429062793979311,0.35546875,0.05819687793979311
N000702,N007932,different,0.0748256182625237,0.0625,0.012325618262523694,0.03125,0.043575618262523694,0.0390625,0.035763118262523694,0.05859375,0.016231868262523694
N009387,N009517,different,0.1550079491255961,0.15625,0.001242050874403905,0.109375,0.045632949125596095,0.0859375,0.0690704491255961,0.1015625,0.053445449125596095
N000358,N007166,different,0.1524822695035461,0.125,0.027482269503546097,0.09375,0.0587322695035461,0.125,0.027482269503546097,0.16015625,0.007673980496453903
N007841,N011872,different,0.0900621118012422,0.125,0.0349378881987578,0.078125,0.011937111801242198,0.078125,0.011937111801242198,0.0859375,0.004124611801242198
N000576,N000577,same,0.1786055396370582,0.21875,0.04014446036294181,0.21875,0.04014446036294181,0.2265625,0.04795696036294181,0.21875,0.04014446036294181
N003372,N008041,different,0.1540785498489426,0.125,0.029078549848942592,0.09375,0.06032854984894259,0.09375,0.06032854984894259,0.14453125,0.009547299848942592
N006470,N009323,different,0.3245481927710843,0.25,0.07454819277108432,0.3125,0.01204819277108432,0.265625,0.05892319277108432,0.3203125,0.004235692771084321
N001685,N001686,same,0.6132848043676069,0.75,0.1367151956323931,0.640625,0.027340195632393094,0.6953125,0.0820276956323931,0.6171875,0.003902695632393094
N002358,N005690,different,0.1574225122349102,0.0625,0.09492251223491019,0.15625,0.001172512234910189,0.15625,0.001172512234910189,0.1640625,0.006639987765089811
N002216,N002218,same,0.8135338345864662,0.78125,0.03228383458646622,0.78125,0.03228383458646622,0.8203125,0.00677866541353378,0.8046875,0.00884633458646622
N003837,N007101,different,0.2532281205164993,0.21875,0.03447812051649929,0.234375,0.01885312051649929,0.2421875,0.011040620516499289,0.25,0.0032281205164992888
N008995,N010419,different,0.1475548060708263,0.15625,0.0086951939291737,0.15625,0.0086951939291737,0.1328125,0.0147423060708263,0.15625,0.0086951939291737
N001394,N003813,different,0.104594330400782,0.09375,0.010844330400782004,0.09375,0.010844330400782004,0.078125,0.026469330400782004,0.0859375,0.018656830400782004
N003816,N009648,different,0.3646308113035551,0.375,0.010369188696444875,0.34375,0.020880811303555125,0.265625,0.09900581130355512,0.296875,0.06775581130355512
N000883,N003126,different,0.0866721177432543,0.125,0.0383278822567457,0.0625,0.0241721177432543,0.109375,0.0227028822567457,0.12109375,0.0344216322567457
N010748,N011807,different,0.1994750656167979,0.28125,0.0817749343832021,0.234375,0.0348999343832021,0.21875,0.019274934383202103,0.2265625,0.027087434383202103
N006050,N007874,different,0.1027278003482298,0.28125,0.17852219965177019,0.15625,0.0535221996517702,0.1171875,0.0144596996517702,0.09375,0.0089778003482298
N011687,N011688,same,0.9830220713073003,1.0,0.01697792869269965,1.0,0.01697792869269965,1.0,0.01697792869269965,0.9765625,0.006459571307300349
N000036,N011140,different,0.1267232237539766,0.1875,0.0607767762460234,0.171875,0.0451517762460234,0.125,0.0017232237539765993,0.12890625,0.0021830262460234007
N000051,N000052,same,0.953307392996109,0.9375,0.015807392996109004,0.953125,0.00018239299610900428,0.9609375,0.007630107003890996,0.94921875,0.004088642996109004
N001105,N007889,different,0.0680218921032056,0.0625,0.005521892103205597,0.046875,0.021146892103205597,0.0546875,0.013334392103205597,0.06640625,0.0016156421032055973
N004491,N004492,same,0.5182926829268293,0.65625,0.13795731707317072,0.578125,0.059832317073170715,0.609375,0.09108231707317072,0.578125,0.059832317073170715
N004978,N009682,different,0.1228222996515679,0.09375,0.029072299651567907,0.046875,0.0759472996515679,0.078125,0.04469729965156791,0.09765625,0.025166049651567907
N008379,N008380,same,0.864406779661017,0.90625,0.04184322033898302,0.921875,0.05746822033898302,0.90625,0.04184322033898302,0.890625,0.026218220338983023
N001189,N011628,different,0.0988745980707395,0.0625,0.036374598070739506,0.03125,0.0676245980707395,0.078125,0.020749598070739506,0.08203125,0.016843348070739506
N000183,N001889,different,0.4340425531914894,0.40625,0.027792553191489378,0.40625,0.027792553191489378,0.4140625,0.019980053191489378,0.43359375,0.00044880319148937753
N006225,N006227,same,0.210412147505423,0.125,0.085412147505423,0.15625,0.054162147505423,0.2109375,0.0005253524945769972,0.1796875,0.030724647505423003
N002447,N007313,different,0.1302857142857142,0.15625,0.0259642857142858,0.125,0.005285714285714199,0.140625,0.0103392857142858,0.14453125,0.0142455357142858
N005321,N005322,same,0.9304123711340206,0.9375,0.007087628865979356,0.96875,0.038337628865979356,0.9609375,0.030525128865979356,0.94921875,0.018806378865979356
N004563,N004564,same,0.3852106620808254,0.4375,0.05228933791917462,0.375,0.010210662080825383,0.4140625,0.028851837919174617,0.421875,0.03666433791917462
N001497,N001498,same,0.4645799011532125,0.6875,0.22292009884678748,0.5625,0.09792009884678748,0.5078125,0.043232598846787484,0.49609375,0.031513848846787484
N002729,N008105,different,0.1562252180808881,0.1875,0.0312747819191119,0.171875,0.0156497819191119,0.1640625,0.0078372819191119,0.16015625,0.003931031919111899
N000314,N008220,different,0.1233552631578947,0.125,0.001644736842105296,0.109375,0.013980263157894704,0.09375,0.029605263157894704,0.125,0.001644736842105296
N001902,N009227,different,0.3510758776896942,0.375,0.023924122310305773,0.328125,0.022950877689694227,0.3828125,0.03173662231030577,0.37109375,0.020017872310305773
N001376,N009439,different,0.2835011618900077,0.28125,0.00225116189000768,0.296875,0.01337383810999232,0.2890625,0.00556133810999232,0.29296875,0.00946758810999232
N003019,N009498,different,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0546875,0.056423611111111105,0.08203125,0.029079861111111105
N003883,N004988,different,0.0938851142680667,0.125,0.0311148857319333,0.109375,0.0154898857319333,0.078125,0.0157601142680667,0.08203125,0.0118538642680667
N004822,N007764,different,0.1306501547987616,0.3125,0.1818498452012384,0.203125,0.0724748452012384,0.1875,0.0568498452012384,0.15234375,0.021693595201238397
N000255,N007615,different,0.2618296529968454,0.40625,0.1444203470031546,0.375,0.11317034700315459,0.3125,0.05067034700315459,0.2890625,0.027232847003154592
N005676,N011302,different,0.1440329218106996,0.09375,0.0502829218106996,0.125,0.0190329218106996,0.1484375,0.004404578189300401,0.15234375,0.008310828189300401
N003403,N007889,different,0.0820143884892086,0.0625,0.019514388489208598,0.03125,0.0507643884892086,0.03125,0.0507643884892086,0.0625,0.019514388489208598
N002476,N005891,different,0.0907894736842105,0.125,0.0342105263157895,0.078125,0.012664473684210503,0.0859375,0.004851973684210503,0.08984375,0.0009457236842105032
N004988,N009224,different,0.114792899408284,0.125,0.010207100591716006,0.109375,0.005417899408283994,0.0859375,0.028855399408283994,0.1015625,0.013230399408283994
N001677,N011151,different,0.1003562945368171,0.09375,0.006606294536817103,0.078125,0.022231294536817103,0.078125,0.022231294536817103,0.0859375,0.014418794536817103
N006731,N006732,same,0.8859060402684564,0.96875,0.08284395973154357,0.921875,0.03596895973154357,0.9140625,0.02815645973154357,0.87109375,0.01481229026845643
N002200,N009548,different,0.0974297668858338,0.0625,0.034929766885833796,0.078125,0.019304766885833796,0.078125,0.019304766885833796,0.0859375,0.011492266885833796
N001873,N001874,same,0.8815426997245179,0.84375,0.03779269972451793,0.890625,0.00908230027548207,0.8984375,0.01689480027548207,0.890625,0.00908230027548207
N006820,N010293,different,0.1648351648351648,0.25,0.0851648351648352,0.1875,0.022664835164835195,0.140625,0.024210164835164805,0.15234375,0.012491414835164805
N004096,N007060,different,0.2082683307332293,0.1875,0.020768330733229312,0.140625,0.06764333073322931,0.1875,0.020768330733229312,0.2109375,0.002669169266770688
N003135,N003543,different,0.1820448877805486,0.09375,0.08829488778054859,0.171875,0.010169887780548587,0.171875,0.010169887780548587,0.18359375,0.0015488622194514134
N006564,N007387,different,0.1912144702842377,0.125,0.06621447028423769,0.109375,0.08183947028423769,0.1953125,0.0040980297157623136,0.1953125,0.0040980297157623136
N004906,N008027,different,0.184,0.21875,0.03475,0.21875,0.03475,0.1875,0.003500000000000003,0.1796875,0.004312499999999997
N000145,N007083,different,0.09125,0.15625,0.065,0.109375,0.018125000000000002,0.1015625,0.010312500000000002,0.08984375,0.0014062499999999978
N008087,N008088,same,0.3101010101010101,0.3125,0.0023989898989899006,0.265625,0.0444760101010101,0.3046875,0.0054135101010100994,0.3203125,0.0102114898989899
N007153,N007701,different,0.3163418290854572,0.25,0.06634182908545722,0.296875,0.019466829085457216,0.34375,0.027408170914542784,0.34375,0.027408170914542784
N010825,N010826,same,0.6002143622722401,0.40625,0.19396436227224012,0.453125,0.14708936227224012,0.546875,0.05333936227224012,0.5703125,0.02990186227224012
N006905,N006906,same,0.9791955617198336,1.0,0.020804438280166426,1.0,0.020804438280166426,0.9921875,0.012991938280166426,0.98828125,0.009085688280166426
N001863,N002786,different,0.0989922940130409,0.15625,0.057257705986959104,0.09375,0.005242294013040896,0.0703125,0.028679794013040896,0.078125,0.020867294013040896
N001735,N005403,different,0.2863475177304964,0.46875,0.18240248226950362,0.34375,0.05740248226950362,0.3359375,0.04958998226950362,0.328125,0.04177748226950362
N009982,N009985,same,0.1882519462137296,0.28125,0.09299805378627041,0.171875,0.016376946213729593,0.1796875,0.008564446213729593,0.171875,0.016376946213729593
N008801,N011616,different,0.1529105125977411,0.15625,0.003339487402258895,0.140625,0.012285512597741105,0.15625,0.003339487402258895,0.1953125,0.042401987402258895
N003201,N011795,different,0.3049967553536664,0.34375,0.03875324464633362,0.296875,0.008121755353666382,0.25,0.05499675535366638,0.29296875,0.012028005353666382
N009040,N010335,different,0.0883002207505518,0.09375,0.0054497792494482,0.0625,0.0258002207505518,0.0546875,0.0336127207505518,0.08203125,0.0062689707505518
N000276,N000278,same,0.2373923739237392,0.25,0.012607626076260786,0.203125,0.034267373923739214,0.25,0.012607626076260786,0.234375,0.003017373923739214
N001338,N001340,same,0.9699570815450644,0.96875,0.0012070815450644368,0.984375,0.014417918454935563,0.984375,0.014417918454935563,0.98046875,0.010511668454935563
N011118,N011119,same,0.8378698224852071,0.78125,0.05661982248520714,0.828125,0.009744822485207139,0.84375,0.0058801775147928614,0.81640625,0.02146357248520714
N000768,N000770,same,0.6359039190897599,0.65625,0.02034608091024015,0.5625,0.07340391908975985,0.59375,0.04215391908975985,0.62109375,0.01481016908975985
N001515,N006807,different,0.1460494812450119,0.09375,0.05229948124501191,0.171875,0.02582551875498809,0.1796875,0.03363801875498809,0.17578125,0.02973176875498809
N009100,N009150,different,0.1350040420371867,0.15625,0.02124595796281331,0.140625,0.005620957962813311,0.1015625,0.03344154203718669,0.11328125,0.02172279203718669
N000437,N010413,different,0.090455396132252,0.125,0.034544603867748006,0.078125,0.012330396132251994,0.0859375,0.0045178961322519945,0.0859375,0.0045178961322519945
N008497,N008498,same,0.5399201596806387,0.625,0.08507984031936133,0.59375,0.05382984031936133,0.5625,0.022579840319361333,0.515625,0.024295159680638667
N007145,N007146,same,0.4770114942528735,0.5,0.02298850574712652,0.46875,0.00826149425287348,0.4375,0.03951149425287348,0.44921875,0.02779274425287348
N007053,N010560,different,0.2483271375464684,0.1875,0.0608271375464684,0.203125,0.0452021375464684,0.2421875,0.006139637546468402,0.23046875,0.0178583875464684
