notice_id_a,notice_id_b,jaccard
N000001,N000305,0.18098510882016036
N000001,N001089,0.1560798548094374
N000001,N001090,0.1560798548094374
N000001,N001642,0.1771058315334773
N000001,N001643,0.1554192229038855
N000001,N001719,0.2013129102844639
N000001,N002144,0.17121046892039257
N000001,N003011,0.1581151832460733
N000001,N003012,0.1579497907949791
N000001,N003060,0.14108674928503337
N000001,N003061,0.15458937198067632
N000001,N003062,0.15615906886517944
N000001,N003296,0.16649431230610134
N000001,N003518,0.2051009564293305
N000001,N003520,0.2053191489361702
N000001,N003719,0.17573221757322174
N000001,N003809,0.170995670995671
N000001,N003812,0.17136659436008678
N000001,N003933,0.1646586345381526
N000001,N004225,0.16109422492401215
N000001,N004226,0.15542521994134897
N000001,N004467,0.17287234042553193
N000001,N004501,0.15502008032128514
N000001,N004957,0.16864864864864865
N000001,N005460,0.16067864271457086
N000001,N005741,0.16924564796905223
N000001,N006915,0.16062683643486778
N000001,N007166,0.16448032290615539
N000001,N008427,0.15410573678290213
N000001,N008431,0.14842903575297942
N000001,N008512,0.17288135593220338
N000001,N008768,0.18793503480278423
N000001,N009596,0.175
N000001,N009643,0.17309941520467836
N000001,N010064,0.15503875968992248
N000001,N010135,0.15943396226415094
N000001,N010136,0.1591337099811676
N000001,N011592,0.1218274111675127
N000001,N011772,0.16666666666666666
N000002,N000051,0.14153561517113783
N000002,N000052,0.14153561517113783
N000002,N000284,0.3790322580645161
N000002,N000500,0.38652482269503546
N000002,N000599,0.38405797101449274
N000002,N000601,0.37258347978910367
N000002,N000926,0.35086277732128185
N000002,N000996,0.33915022761760244
N000002,N001153,0.40393626991565135
N000002,N001191,0.3845486111111111
N000002,N001214,0.3679324894514768
N000002,N001333,0.4053554939981533
N000002,N001335,0.3871543264942016
N000002,N001473,0.43737574552683894
N000002,N001774,0.41633858267716534
N000002,N001826,0.3811700182815356
N000002,N002021,0.3553784860557769
N000002,N002131,0.36163522012578614
N000002,N002398,0.3976945244956772
N000002,N002402,0.3625632377740304
N000002,N002426,0.3691460055096419
N000002,N002427,0.3582222222222222
N000002,N002761,0.366303436714166
N000002,N002864,0.3774283071230342
N000002,N002947,0.3612648221343874
N000002,N003748,0.3430830039525692
N000002,N004355,0.32921174652241114
N000002,N004495,0.34932054356514786
N000002,N004627,0.3668690372940156
N000002,N004628,0.3534844668345928
N000002,N004777,0.32901751713632904
N000002,N004779,0.3300229182582124
N000002,N005222,0.34913112164297
N000002,N005335,0.3925657298277425
N000002,N005431,0.36855670103092786
N000002,N005597,0.35279187817258884
N000002,N006036,0.3299610894941634
N000002,N006172,0.33460365853658536
N000002,N006395,0.35980551053484605
N000002,N006470,0.4011352885525071
N000002,N006608,0.3827708703374778
N000002,N007328,0.3512861736334405
N000002,N007340,0.35294117647058826
N000002,N007460,0.35512510088781274
N000002,N007508,0.12860892388451445
N000002,N007529,0.3830678960603521
N000002,N007591,0.37184115523465705
N000002,N008266,0.37682403433476397
N000002,N008298,0.3493975903614458
N000002,N008314,0.3811742777260019
N000002,N008423,0.34185303514376997
N000002,N008460,0.3647746243739566
N000002,N008462,0.3767241379310345
N000002,N008530,0.367003367003367
N000002,N008713,0.3104196816208394
N000002,N009007,0.4489593657086224
N000002,N009226,0.3328591749644381
N000002,N009544,0.3221990257480863
N000002,N009551,0.35313531353135313
N000002,N009573,0.3318007662835249
N000002,N009698,0.362962962962963
N000002,N009960,0.3702749140893471
N000002,N010398,0.36837748344370863
N000002,N010878,0.40594059405940597
N000002,N011068,0.3409090909090909
N000002,N011097,0.36155202821869487
N000002,N011336,0.385834109972041
N000002,N011613,0.3938260056127222
N000003,N000036,0.3307365439093484
N000003,N000131,0.41658812441093307
N000003,N000349,0.11669658886894076
N000003,N000350,0.11469534050179211
N000003,N000451,0.10287769784172662
N000003,N000617,0.36789297658862874
N000003,N000639,0.3381024096385542
N000003,N000737,0.10566298342541436
N000003,N000793,0.12176347095871239
N000003,N000841,0.39173553719008264
N000003,N000926,0.3730484798685292
N000003,N001001,0.38073807380738073
N000003,N001004,0.3239017125837677
N000003,N001005,0.3159041394335512
N000003,N001047,0.36130007558578986
N000003,N001114,0.39299242424242425
N000003,N001242,0.32872503840245776
N000003,N001289,0.380859375
N000003,N001314,0.30978260869565216
N000003,N001349,0.39028475711892796
N000003,N001450,0.1310763888888889
N000003,N001503,0.3416289592760181
N000003,N001540,0.35837651122625214
N000003,N001552,0.35949764521193095
N000003,N001559,0.314646110721794
N000003,N001576,0.33913701741105223
N000003,N001651,0.33413269384492406
N000003,N001824,0.36037441497659906
N000003,N001854,0.3399122807017544
N000003,N001855,0.33916849015317285
N000003,N001884,0.10013003901170352
N000003,N001885,0.1203288490284006
N000003,N001887,0.1162962962962963
N000003,N001931,0.35228122662677636
N000003,N002058,0.35434956105347165
N000003,N002059,0.34108527131782945
N000003,N002168,0.3011204481792717
N000003,N002198,0.3769161406672678
N000003,N002326,0.3775784753363229
N000003,N002349,0.38632326820603907
