notice_id_a,notice_id_b,label,word3_jaccard,word5_jaccard,     char5_jaccard
N010018,N010020,same,0.221709007,0.198731501,0.304937915
N007876,N008565,different,0.187159297,0.111341274,0.386430139
N005451,N005452,same,0.309148265,0.273758865,0.410546875
N008464,N010231,different,0.116462976,0.069453376,0.277650965
N000420,N001104,different,0.252392344,0.161490683,0.441013975
N004781,N005219,different,0.270114943,0.19379845,0.463541667
N007021,N010547,different,0.330516432,0.25647452,0.483796887
N004413,N008734,different,0.1296875,0.078762307,0.309614098
N007783,N007784,same,0.280469897,0.246357616,0.386055046
N001104,N001107,same,0.282051282,0.263038549,0.388238916
N006958,N006959,same,0.456565657,0.453627181,0.505540897
N003107,N007431,different,0.368922784,0.279632721,0.530950531
N010497,N011446,different,0.428699552,0.345757335,0.579323958
N002561,N003545,different,0.114767932,0.07751938,0.283852955
N004217,N007965,different,0.420560748,0.340231788,0.576883385
N006099,N006100,same,0.609161793,0.592559787,0.666839917
N009010,N009562,different,0.138932496,0.089361702,0.327934324
N005332,N005333,same,0.862422998,0.818181818,0.91638796
N008288,N010448,different,0.392201835,0.270550162,0.593791574
N002391,N009409,different,0.14017991,0.086021505,0.322330097
N001001,N007428,different,0.188927944,0.121329212,0.36131566
N002919,N002920,same,0.956736712,0.942414175,0.974104859
N007223,N008301,different,0.256410256,0.163841808,0.436781609
N005352,N007867,different,0.140468227,0.086410635,0.314604078
N007893,N007894,same,0.888888889,0.852017937,0.939809049
N002670,N007972,different,0.398148148,0.281518625,0.594300894
N006038,N008642,different,0.163710778,0.098251959,0.344096672
N004523,N007453,different,0.249445676,0.160077146,0.413509545
N006491,N010563,different,0.425164474,0.323175053,0.580926181
N002902,N010086,different,0.234079174,0.145772595,0.437468096
N001013,N003939,different,0.271497585,0.173805601,0.473914231
N002612,N004456,different,0.148804934,0.097020097,0.309950356
N003308,N005945,different,0.129438717,0.08436214,0.289939024
N002811,N007128,different,0.25990676,0.168016194,0.454773083
N007478,N011108,different,0.163294798,0.106615286,0.327051672
N001760,N001761,same,0.966480447,0.955017301,0.982126899
N004944,N009237,different,0.158385093,0.105890603,0.321280767
N008261,N008262,same,0.61770428,0.598237885,0.680641822
N003630,N009918,different,0.207667732,0.122727273,0.396996997
N003948,N008608,different,0.135236664,0.078824315,0.312340967
N008997,N008998,same,0.513274336,0.473972603,0.620440592
N004789,N005917,different,0.278481013,0.160928144,0.519463087
N003672,N008071,different,0.48125937,0.404401651,0.64563657
N009235,N009236,same,0.405679513,0.370510397,0.50886194
N001817,N002597,different,0.396109637,0.334121355,0.523809524
N000985,N000986,same,0.222222222,0.196502058,0.294754846
N000993,N010660,different,0.236842105,0.142241379,0.435277383
N003269,N010318,different,0.277826468,0.172035139,0.497932817
N011750,N011966,different,0.278864971,0.167907361,0.496376812
N010357,N010360,same,0.987792472,0.970204842,0.996269651
N001163,N001165,same,0.97752809,0.968,0.985102421
N011255,N011732,different,0.288241415,0.172353456,0.507624633
N007191,N011803,different,0.126436782,0.07941989,0.285529437
N003422,N008330,different,0.141802068,0.090608466,0.3140599
N004762,N011915,different,0.407308378,0.328627451,0.564427861
N006325,N006326,same,0.85674548,0.810539523,0.921908127
N003658,N003661,same,0.925233645,0.894645941,0.96306186
N010135,N010136,same,0.987281399,0.982300885,0.9904
N003079,N011928,different,0.421674877,0.353508772,0.558406843
N000268,N009659,different,0.506432749,0.42721519,0.648566199
N001173,N001174,same,0.594458438,0.564042303,0.692935636
N004065,N007546,different,0.371848739,0.297271872,0.545092461
N000702,N007932,different,0.122857143,0.074825618,0.289723483
N009387,N009517,different,0.25426945,0.155007949,0.455195162
N000358,N007166,different,0.242051282,0.15248227,0.43656286
N007841,N011872,different,0.128779395,0.090062112,0.295327652
N000576,N000577,same,0.195629553,0.17860554,0.263410729
N003372,N008041,different,0.255625563,0.15407855,0.461578947
N006470,N009323,different,0.404987102,0.324548193,0.546860133
N001685,N001686,same,0.634904714,0.613284804,0.698174006
N002358,N005690,different,0.258687259,0.157422512,0.483888889
N002216,N002218,same,0.867892977,0.813533835,0.951279934
N003837,N007101,different,0.349166667,0.253228121,0.533886256
N008995,N010419,different,0.246548323,0.147554806,0.438683128
N001394,N003813,different,0.155097614,0.10459433,0.294353683
N003816,N009648,different,0.432760364,0.364630811,0.586844251
N000883,N003126,different,0.125110914,0.086672118,0.295652174
N010748,N011807,different,0.274853801,0.199475066,0.483717775
N006050,N007874,different,0.17076412,0.1027278,0.353409753
N011687,N011688,same,0.989130435,0.983022071,0.992214533
N000036,N011140,different,0.202219482,0.126723224,0.396503102
N000051,N000052,same,0.969262295,0.953307393,0.985766758
N001105,N007889,different,0.105173876,0.068021892,0.272853186
N004491,N004492,same,0.54845815,0.518292683,0.625529511
N004978,N009682,different,0.18842002,0.1228223,0.363239705
N008379,N008380,same,0.890092879,0.86440678,0.918219855
N001189,N011628,different,0.15307971,0.098874598,0.313927227
N000183,N001889,different,0.501762632,0.434042553,0.638194021
N006225,N006227,same,0.231042654,0.210412148,0.309146341
N002447,N007313,different,0.206762029,0.130285714,0.387586207
N005321,N005322,same,0.938953488,0.930412371,0.948320413
N004563,N004564,same,0.400183993,0.385210662,0.517266897
N001497,N001498,same,0.483035714,0.464579901,0.588151994
N002729,N008105,different,0.273076923,0.156225218,0.478346457
N000314,N008220,different,0.204458599,0.123355263,0.393380255
N001902,N009227,different,0.436156764,0.351075878,0.604557641
N001376,N009439,different,0.377341659,0.283501162,0.553616591
N003019,N009498,different,0.178807947,0.111111111,0.363867684
N003883,N004988,different,0.159217877,0.093885114,0.330886729
N004822,N007764,different,0.221167883,0.130650155,0.412749517
N000255,N007615,different,0.337825696,0.261829653,0.502284264
N005676,N011302,different,0.230310263,0.144032922,0.401315789
