threshold,TP,FP,TN,FN,precision,recall,F1
0.5,190,0,621,89,1.0,0.6810035842293907,0.8102345415778252
0.55,170,0,621,109,1.0,0.6093189964157706,0.7572383073496659
0.6,145,0,621,134,1.0,0.5197132616487455,0.6839622641509434
0.65,116,0,621,163,1.0,0.4157706093189964,0.5873417721518988
0.7,103,0,621,176,1.0,0.36917562724014336,0.5392670157068062
0.75,98,0,621,181,1.0,0.35125448028673834,0.519893899204244
0.8,97,0,621,182,1.0,0.34767025089605735,0.5159574468085106
0.85,81,0,621,198,1.0,0.2903225806451613,0.45000000000000007
0.9,55,0,621,224,1.0,0.1971326164874552,0.32934131736526945
0.95,26,0,621,253,1.0,0.0931899641577061,0.17049180327868854
