threshold,TP,FP,TN,FN,precision,recall,F1,cost_10_to_1,cost_50_to_1,cost_100_to_1
0.5,191,0,621,88,1.0,0.6845878136200717,0.8127659574468085,88,88,88
0.55,170,0,621,109,1.0,0.6093189964157706,0.7572383073496659,109,109,109
0.6,148,0,621,131,1.0,0.5304659498207885,0.6932084309133489,131,131,131
0.65,118,0,621,161,1.0,0.4229390681003584,0.5944584382871536,161,161,161
0.7,103,0,621,176,1.0,0.36917562724014336,0.5392670157068062,176,176,176
0.75,98,0,621,181,1.0,0.35125448028673834,0.519893899204244,181,181,181
0.8,97,0,621,182,1.0,0.34767025089605735,0.5159574468085106,182,182,182
0.85,81,0,621,198,1.0,0.2903225806451613,0.45000000000000007,198,198,198
0.9,55,0,621,224,1.0,0.1971326164874552,0.32934131736526945,224,224,224
0.95,26,0,621,253,1.0,0.0931899641577061,0.17049180327868854,253,253,253
